suite	language	ms_mean	peak_rss_kb
hello	Nyra	1.8164	1088
hello	Nyra-typed	1.7966	1088
arithmetic	Nyra	1.7007	1056
arithmetic	Nyra-typed	1.7562	1056
dungeon	Nyra	2.8192	1408
dungeon	Nyra-typed	2.8900	1408
loop	Nyra	1413.6043	1056
loop	Nyra-typed	1412.8151	1056
fib	Nyra	1412.3417	1056
fib	Nyra-typed	1412.8758	1056
nested	Nyra	52.1994	1056
nested	Nyra-typed	52.0251	1056
struct_sum	Nyra	2.9566	1408
struct_sum	Nyra-typed	2.8642	1408
loop_nofold	Nyra	1412.2005	1056
loop_nofold	Nyra-typed	1412.2961	1056
comptime_table	Nyra	3.6398	1056
comptime_table	Nyra-typed	3.6203	1056
comptime_table	Nyra-comptime	1.8034	1056
comptime_table	Nyra-comptime-typed	1.7920	1056
cpu_bound	Nyra	808.6509	1056
cpu_bound	Nyra-typed	808.7863	1056
mix	Nyra	1832.0423	1056
mix	Nyra-typed	1832.4539	1056
escape_local_channel	Nyra	6.9962	1056
escape_spawn_channel	Nyra	127.8377	1312
escape_point_sroa	Nyra	5.5618	1408
memory_alloc_struct	Nyra	12.5385	1472
memory_alloc_struct	Nyra-typed	12.3592	1472
memory_free_struct	Nyra	11.3946	1088
memory_free_struct	Nyra-typed	10.9993	1088
memory_arena	Nyra	6.9192	1056
memory_arena	Nyra-typed	6.4192	1056
memory_ownership	Nyra	7.2891	1408
memory_ownership	Nyra-typed	6.8443	1408
strings_concat	Nyra	271.5001	2896
strings_concat	Nyra-typed	271.3023	2896
strings_substring	Nyra	6.4890	2672
strings_substring	Nyra-typed	6.0597	2672
strings_replace	Nyra	8.9705	1104
strings_replace	Nyra-typed	8.1513	1104
strings_split	Nyra	6.9719	2720
strings_split	Nyra-typed	5.7650	2720
strings_utf8	Nyra	9.4745	1072
strings_utf8	Nyra-typed	8.8863	1072
collections_hashmap	Nyra	35.1758	8704
collections_hashmap	Nyra-typed	35.0897	8704
collections_hashset	Nyra	34.9545	8720
collections_hashset	Nyra-typed	35.0720	8720
collections_vec_push	Nyra	6.2719	3104
collections_vec_push	Nyra-typed	5.8816	3104
collections_vec_pop	Nyra	7.3880	3104
collections_vec_pop	Nyra-typed	6.7498	3104
collections_sort	Nyra	4.4806	1312
collections_sort	Nyra-typed	4.2219	1312
algorithms_qsort	Nyra	4.2305	1056
algorithms_qsort	Nyra-typed	3.7315	1056
algorithms_mergesort	Nyra	4.2217	1056
algorithms_mergesort	Nyra-typed	3.8799	1056
algorithms_binary_search	Nyra	3.5470	1056
algorithms_binary_search	Nyra-typed	3.6257	1056
algorithms_json_parse	Nyra	15.8015	1072
algorithms_json_parse	Nyra-typed	15.7387	1072
algorithms_regex	Nyra	18.4657	1136
algorithms_regex	Nyra-typed	18.4331	1136
concurrency_spawn_tasks	Nyra	33.9762	1488
concurrency_spawn_tasks	Nyra-typed	33.8620	1488
concurrency_channel_pingpong	Nyra	132.7177	1392
concurrency_channel_pingpong	Nyra-typed	139.4580	1392
concurrency_worker_pool	Nyra	10746.2215	3248
concurrency_worker_pool	Nyra-typed	10840.9680	3248
concurrency_parallel_map	Nyra	3.9688	1152
concurrency_parallel_map	Nyra-typed	3.9885	1152
cpu_bound_pgo	Nyra	808.4120	1088
cpu_bound_pgo	Nyra-typed	808.1502	1088
hello	C	3.7840	1056
arithmetic	C	2.3392	1056
dungeon	C	2.0664	1056
loop	C	1295.7243	1056
fib	C	1294.8507	1056
nested	C	57.9483	1056
struct_sum	C	3.2452	1056
loop_nofold	C	1294.4792	1072
comptime_table	C	6.5883	1056
cpu_bound	C	474.4799	1072
mix	C	1791.5001	1056
memory_alloc_struct	C	7.0466	1056
memory_free_struct	C	4.5751	1056
memory_arena	C	4.4523	1056
memory_ownership	C	6.0611	1056
hello	C++	2.9072	1072
arithmetic	C++	3.7319	1088
dungeon	C++	3.7763	1088
loop	C++	1295.6858	1088
fib	C++	1294.5273	1088
nested	C++	57.3690	1088
struct_sum	C++	3.9165	1120
loop_nofold	C++	1294.9024	1088
comptime_table	C++	6.9483	1120
cpu_bound	C++	474.6088	1088
mix	C++	1791.7758	1088
hello	Go	4.5957	3648
arithmetic	Go	3.6413	3600
dungeon	Go	5.1736	3600
loop	Go	1297.7865	3680
fib	Go	1296.0676	3504
nested	Go	58.9069	3632
struct_sum	Go	28.1183	3680
loop_nofold	Go	1296.4298	3744
comptime_table	Go	8.4034	3696
cpu_bound	Go	581.8674	3680
mix	Go	1795.4446	3536
memory_alloc_struct	Go	8.6220	3648
memory_free_struct	Go	5.4359	3600
memory_arena	Go	6.1412	3600
memory_ownership	Go	8.2642	3632
strings_concat	Go	299.3988	17360
collections_hashmap	Go	5.5177	3920
collections_vec_push	Go	5.6903	8176
algorithms_json_parse	Go	5.5624	3680
concurrency_spawn_tasks	Go	4.3720	3696
concurrency_channel_pingpong	Go	18.9114	3664
hello	Rust	3.7195	1216
arithmetic	Rust	3.6457	1280
dungeon	Rust	4.0963	1216
loop	Rust	1551.9988	1280
fib	Rust	1549.7280	1280
nested	Rust	71.2723	1280
struct_sum	Rust	3.8774	1248
loop_nofold	Rust	1546.3965	1280
comptime_table	Rust	4.9705	1216
cpu_bound	Rust	878.1614	1280
mix	Rust	1986.9194	1280
memory_alloc_struct	Rust	5.0735	1280
collections_vec_push	Rust	10.1980	3216
concurrency_channel_pingpong	Rust	11.0895	5440
