# Nyra comparison — runtime + memory benchmark
# Generated: 2026-07-01T14:14:09Z
# Runs per command: 5 (warmup 1 discarded); micro=9 concurrency=11
# Time: median wall clock in milliseconds (lower is better)
# Nyra parity: Zero/Explicit measured interleaved per suite (same OS/thermal window)
# Parity summary excludes startup-dominated suites (hello, arithmetic) — see HTML report
# Memory: peak max RSS in KB during timed runs (lower is better)
# Binary size: hello-world release / stripped / UPX (see binary-size.tsv)
# Platform: Darwin arm64
# Nyra build: release; cpu_bound_pgo=release+pgo; Nyra flags: --no-prelude (single-file suites), prelude (multi-file/struct_sum), -march=native
# Isolation: Nyra variants per suite (interleaved pairs); other langs isolated (BENCH_LANG_COOLDOWN=2s)
# Compiled langs: -O3 -flto=thin (Nyra --release, clang/clang++/rustc aligned)
# Note: Nyra/C/C++/Go/Rust/Java = compiled; Node/Python = runtime interpreters


Nyra appears twice:

  • Nyra (Zero Types)
  • Nyra (Explicit Types)

Both generate native code. Zero/Explicit pairs are measured interleaved per suite
(median wall time) so OS startup noise does not skew the comparison.

The hot-path parity table (HTML) excludes hello/arithmetic where process spawn
dominates and LLVM output is identical — see full matrix for all suites.

| Suite        | Language               | Time (ms) | Memory     |
|--------------|------------------------|-----------|------------|
| hello        | Nyra (Zero Types)      |     1.8164 |    1088 KB |
| hello        | Nyra (Explicit Types)  |     1.7966 |    1088 KB |
| arithmetic   | Nyra (Zero Types)      |     1.7007 |    1056 KB |
| arithmetic   | Nyra (Explicit Types)  |     1.7562 |    1056 KB |
| dungeon      | Nyra (Zero Types)      |     2.8192 |    1408 KB |
| dungeon      | Nyra (Explicit Types)  |     2.8900 |    1408 KB |
| loop         | Nyra (Zero Types)      |  1413.6043 |    1056 KB |
| loop         | Nyra (Explicit Types)  |  1412.8151 |    1056 KB |
| fib          | Nyra (Zero Types)      |  1412.3417 |    1056 KB |
| fib          | Nyra (Explicit Types)  |  1412.8758 |    1056 KB |
| nested       | Nyra (Zero Types)      |    52.1994 |    1056 KB |
| nested       | Nyra (Explicit Types)  |    52.0251 |    1056 KB |
| struct_sum   | Nyra (Zero Types)      |     2.9566 |    1408 KB |
| struct_sum   | Nyra (Explicit Types)  |     2.8642 |    1408 KB |
| loop_nofold  | Nyra (Zero Types)      |  1412.2005 |    1056 KB |
| loop_nofold  | Nyra (Explicit Types)  |  1412.2961 |    1056 KB |
| comptime_table | Nyra (Zero Types)      |     3.6398 |    1056 KB |
| comptime_table | Nyra (Explicit Types)  |     3.6203 |    1056 KB |
| comptime_table | Nyra (Comptime)        |     1.8034 |    1056 KB |
| comptime_table | Nyra (Comptime + Types) |     1.7920 |    1056 KB |
| cpu_bound    | Nyra (Zero Types)      |   808.6509 |    1056 KB |
| cpu_bound    | Nyra (Explicit Types)  |   808.7863 |    1056 KB |
| mix          | Nyra (Zero Types)      |  1832.0423 |    1056 KB |
| mix          | Nyra (Explicit Types)  |  1832.4539 |    1056 KB |
| escape_local_channel | Nyra (Zero Types)      |     6.9962 |    1056 KB |
| escape_spawn_channel | Nyra (Zero Types)      |   127.8377 |    1312 KB |
| escape_point_sroa | Nyra (Zero Types)      |     5.5618 |    1408 KB |
| memory_alloc_struct | Nyra (Zero Types)      |    12.5385 |    1472 KB |
| memory_alloc_struct | Nyra (Explicit Types)  |    12.3592 |    1472 KB |
| memory_free_struct | Nyra (Zero Types)      |    11.3946 |    1088 KB |
| memory_free_struct | Nyra (Explicit Types)  |    10.9993 |    1088 KB |
| memory_arena | Nyra (Zero Types)      |     6.9192 |    1056 KB |
| memory_arena | Nyra (Explicit Types)  |     6.4192 |    1056 KB |
| memory_ownership | Nyra (Zero Types)      |     7.2891 |    1408 KB |
| memory_ownership | Nyra (Explicit Types)  |     6.8443 |    1408 KB |
| strings_concat | Nyra (Zero Types)      |   271.5001 |    2896 KB |
| strings_concat | Nyra (Explicit Types)  |   271.3023 |    2896 KB |
| strings_substring | Nyra (Zero Types)      |     6.4890 |    2672 KB |
| strings_substring | Nyra (Explicit Types)  |     6.0597 |    2672 KB |
| strings_replace | Nyra (Zero Types)      |     8.9705 |    1104 KB |
| strings_replace | Nyra (Explicit Types)  |     8.1513 |    1104 KB |
| strings_split | Nyra (Zero Types)      |     6.9719 |    2720 KB |
| strings_split | Nyra (Explicit Types)  |     5.7650 |    2720 KB |
| strings_utf8 | Nyra (Zero Types)      |     9.4745 |    1072 KB |
| strings_utf8 | Nyra (Explicit Types)  |     8.8863 |    1072 KB |
| collections_hashmap | Nyra (Zero Types)      |    35.1758 |    8704 KB |
| collections_hashmap | Nyra (Explicit Types)  |    35.0897 |    8704 KB |
| collections_hashset | Nyra (Zero Types)      |    34.9545 |    8720 KB |
| collections_hashset | Nyra (Explicit Types)  |    35.0720 |    8720 KB |
| collections_vec_push | Nyra (Zero Types)      |     6.2719 |    3104 KB |
| collections_vec_push | Nyra (Explicit Types)  |     5.8816 |    3104 KB |
| collections_vec_pop | Nyra (Zero Types)      |     7.3880 |    3104 KB |
| collections_vec_pop | Nyra (Explicit Types)  |     6.7498 |    3104 KB |
| collections_sort | Nyra (Zero Types)      |     4.4806 |    1312 KB |
| collections_sort | Nyra (Explicit Types)  |     4.2219 |    1312 KB |
| algorithms_qsort | Nyra (Zero Types)      |     4.2305 |    1056 KB |
| algorithms_qsort | Nyra (Explicit Types)  |     3.7315 |    1056 KB |
| algorithms_mergesort | Nyra (Zero Types)      |     4.2217 |    1056 KB |
| algorithms_mergesort | Nyra (Explicit Types)  |     3.8799 |    1056 KB |
| algorithms_binary_search | Nyra (Zero Types)      |     3.5470 |    1056 KB |
| algorithms_binary_search | Nyra (Explicit Types)  |     3.6257 |    1056 KB |
| algorithms_json_parse | Nyra (Zero Types)      |    15.8015 |    1072 KB |
| algorithms_json_parse | Nyra (Explicit Types)  |    15.7387 |    1072 KB |
| algorithms_regex | Nyra (Zero Types)      |    18.4657 |    1136 KB |
| algorithms_regex | Nyra (Explicit Types)  |    18.4331 |    1136 KB |
| concurrency_spawn_tasks | Nyra (Zero Types)      |    33.9762 |    1488 KB |
| concurrency_spawn_tasks | Nyra (Explicit Types)  |    33.8620 |    1488 KB |
| concurrency_channel_pingpong | Nyra (Zero Types)      |   132.7177 |    1392 KB |
| concurrency_channel_pingpong | Nyra (Explicit Types)  |   139.4580 |    1392 KB |
| concurrency_worker_pool | Nyra (Zero Types)      | 10746.2215 |    3248 KB |
| concurrency_worker_pool | Nyra (Explicit Types)  | 10840.9680 |    3248 KB |
| concurrency_parallel_map | Nyra (Zero Types)      |     3.9688 |    1152 KB |
| concurrency_parallel_map | Nyra (Explicit Types)  |     3.9885 |    1152 KB |
| cpu_bound_pgo | Nyra (Zero Types)      |   808.4120 |    1088 KB |
| cpu_bound_pgo | Nyra (Explicit Types)  |   808.1502 |    1088 KB |
| hello        | C                      |     3.7840 |    1056 KB |
| arithmetic   | C                      |     2.3392 |    1056 KB |
| dungeon      | C                      |     2.0664 |    1056 KB |
| loop         | C                      |  1295.7243 |    1056 KB |
| fib          | C                      |  1294.8507 |    1056 KB |
| nested       | C                      |    57.9483 |    1056 KB |
| struct_sum   | C                      |     3.2452 |    1056 KB |
| loop_nofold  | C                      |  1294.4792 |    1072 KB |
| comptime_table | C                      |     6.5883 |    1056 KB |
| cpu_bound    | C                      |   474.4799 |    1072 KB |
